group,replicate,fastq_1,fastq_2,antibody,control
INPUT_WT1,1,RawFq/input_171_WT1_1.fq.gz,RawFq/input_171_WT1_2.fq.gz,,
INPUT_WT2,1,RawFq/input_171_WT2_1.fq.gz,RawFq/input_171_WT2_2.fq.gz,,
INPUT_WT3,1,RawFq/input_171_WT3_1.fq.gz,RawFq/input_171_WT3_2.fq.gz,,
INPUT_M41,1,RawFq/input_1714_1_1.fq.gz,RawFq/input_1714_1_2.fq.gz,,
INPUT_M42,1,RawFq/input_1714_2_1.fq.gz,RawFq/input_1714_2_2.fq.gz,,
INPUT_M43,1,RawFq/input_1714_3_1.fq.gz,RawFq/input_1714_3_2.fq.gz,,
INPUT_M61,1,RawFq/input_1716_1_1.fq.gz,RawFq/input_1716_1_2.fq.gz,,
INPUT_M62,1,RawFq/input_1716_2_1.fq.gz,RawFq/input_1716_2_2.fq.gz,,
INPUT_M63,1,RawFq/input_1716_3_1.fq.gz,RawFq/input_1716_3_2.fq.gz,,
WT,1,RawFq/IP_171_WT1_1.fq.gz,RawFq/IP_171_WT1_2.fq.gz,H3k4m2,INPUT_WT1
WT,2,RawFq/IP_171_WT2_1.fq.gz,RawFq/IP_171_WT2_2.fq.gz,H3k4m2,INPUT_WT2
WT,3,RawFq/IP_171_WT3_1.fq.gz,RawFq/IP_171_WT3_2.fq.gz,H3k4m2,INPUT_WT3
M4,1,RawFq/IP_1714_1_1.fq.gz,RawFq/IP_1714_1_2.fq.gz,H3k4m2,INPUT_M41
M4,2,RawFq/IP_1714_2_1.fq.gz,RawFq/IP_1714_2_2.fq.gz,H3k4m2,INPUT_M42
M4,3,RawFq/IP_1714_3_1.fq.gz,RawFq/IP_1714_3_2.fq.gz,H3k4m2,INPUT_M43
M6,1,RawFq/IP_1716_1_1.fq.gz,RawFq/IP_1716_1_2.fq.gz,H3k4m2,INPUT_M61
M6,2,RawFq/IP_1716_2_1.fq.gz,RawFq/IP_1716_2_2.fq.gz,H3k4m2,INPUT_M62
M6,3,RawFq/IP_1716_3_1.fq.gz,RawFq/IP_1716_3_2.fq.gz,H3k4m2,INPUT_M63
